url;brand;category;price;size;delivery time;now
https://www.zalando.nl/boss-sewalk-shorts-light-beige-bb122f071-b11.html;BOSS;SEWALK - Shorts;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-sestart-trainingsbroek-dark-blue-bb122e0i5-k11.html;BOSS;SESTART - Trainingsbroek;99,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/tiger-of-sweden-maenard-shorts-black-ti522f01u-q11.html;Tiger of Sweden;MAENARD - Shorts;159,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/jlindeberg-broek-jl-navy-jl122e09q-k11.html;J.LINDEBERG;GRANT TRAVEL - Broek;180,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jlindeberg-chino-royal-blue-jl122e09h-k11.html;J.LINDEBERG;Chino;180,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jlindeberg-stue-korte-broeken-skydiver-jl122f02n-k11.html;J.LINDEBERG;STUE  - Korte broeken;140,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/theory-city-found-bomberjacks-black-t4022t016-q11.html;Theory;CITY FOUND - Bomberjacks;380,00;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/fetish-design-leren-broek-rot-fev22e000-g11.html;Fetish-Design;Leren broek;179,90;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/ricano-leren-broek-schwarz-riv22e006-q11.html;Ricano;Leren broek;259,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/matinique-trui-oxford-tan-melange-m6022q031-b11.html;Matinique;Trui;49,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/camel-active-slim-fit-broek-night-blue-ca522e02g-k12.html;camel active;SLIM FIT  - Broek;89,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/defacto-overhemd-bordeaux-dez22d0h2-g11.html;DeFacto;REGULAR FIT  - Overhemd;29,90;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/defacto-regular-fit-overhemd-black-dez22d0h6-q11.html;DeFacto;REGULAR FIT - Overhemd;44,90;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/forsberg-cargobroek-schwarz-fou22e000-q11.html;FORSBERG;HALPA  - Cargobroek;39,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/jlindeberg-broek-tiger-brown-jl122e096-o11.html;J.LINDEBERG;GORDON 3D  - Pantalon;200,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/arket-lucian-half-zip-poloshirt-grey-aru22s00a-c11.html;ARKET;Sweater;79,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/matinique-trui-black-m6022q031-q11.html;Matinique;Trui;49,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/napapijri-elbas-poloshirt-red-tomato-na622p03h-g11.html;Napapijri;ELBAS - Poloshirt;59,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-pokks-poloshirt-navy-bb122p0i3-k11.html;BOSS;POKKS - Poloshirt;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-tales-t-shirt-basic-open-blue-bb122o0jw-k12.html;BOSS;TALES - T-shirt basic;49,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-prime-poloshirt-light-pastel-pink-bb122p0gr-j11.html;BOSS;PRIME - Poloshirt;69,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/ps-paul-smith-slim-fit-shirt-poloshirt-white-ps722p02d-a11.html;PS Paul Smith;SLIM FIT SHIRT - Poloshirt;89,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/north-hill-paris-korte-jassen-blue-n0f22t00a-k11.html;NORTH HILL PARIS;ORSEL JACKET - Korte jassen;339,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/weekday-nano-terry-sweater-black-web22s04r-k11.html;Weekday;NANO TERRY - Sweater;40,00;;1-2;2022-03-17 17:06:48.298391
