date,date_ymd,url,brand,category,price,size,delivery_time,color
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/pullandbear-t-shirt-print-black-zir01hzl7-001.html,PULL&BEAR,T-shirt print,18.9,XL,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hilfiger-denim-t-shirt-basic-blue-zir00wi57-001.html,Hilfiger Denim,T-shirt basic,19.9,M,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-print-white-zir01f65x-001.html,Jack & Jones,T-shirt print,18.9,M,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/eleven-paris-t-shirt-print-grey-zir00ucaz-001.html,Eleven Paris,T-shirt print,17.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/tom-tailor-denim-t-shirt-print-grey-zir0133qt-001.html,TOM TAILOR DENIM,T-shirt print,18.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-print-white-zir01f9x2-001.html,Jack & Jones,T-shirt print,18.9,M,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/adidas-originals-t-shirt-print-red-zir013w90-001.html,adidas Originals,T-shirt print,17.9,M,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-print-beige-zir01447k-001.html,Jack & Jones,T-shirt print,18.9,S,3-6,beige
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/under-armour-sport-t-shirt-multi-colored-zir01p4go-001.html,Under Armour,T-shirt print,18.9,M,3-6,multi colored
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nils-sundstroem-t-shirt-print-grey-zir0144x8-001.html,Nils Sundström,T-shirt basic,19.9,M,3-6,grey
